MCS,Energy,Order
00668,-8038.7162,0.5160
00669,-8040.3742,0.5205
00670,-8001.8612,0.5161
00671,-8026.5569,0.5193
00672,-8071.7645,0.5198
00673,-8085.5773,0.5170
00674,-8097.2616,0.5151
00675,-8081.9757,0.5195
00676,-8011.4159,0.5190
00677,-8044.6901,0.5193
00678,-8037.3688,0.5172
00679,-8036.1895,0.5160
00680,-8035.8739,0.5211
00681,-8007.9727,0.5181
00682,-8005.1722,0.5233
00683,-8020.6735,0.5223
00684,-8015.9091,0.5184
00685,-8006.2126,0.5203
00686,-8014.4682,0.5199
00687,-8001.9178,0.5231
00688,-7957.0851,0.5223
00689,-7959.9908,0.5166
00690,-8004.9589,0.5133
00691,-7997.0410,0.5156
00692,-7990.7945,0.5105
00693,-7912.1398,0.5095
00694,-7930.4941,0.5108
00695,-7948.4344,0.5056
00696,-7972.3027,0.5036
00697,-8035.0662,0.5058
00698,-7999.8768,0.4995
00699,-8003.0330,0.5127
00700,-7970.8819,0.5148
00701,-7978.5231,0.5106
00702,-7960.7633,0.5093
00703,-7966.6007,0.5073
00704,-7983.2674,0.5089
00705,-8023.9773,0.5030
00706,-7985.9902,0.5027
00707,-8003.7896,0.5061
00708,-7989.0575,0.5090
00709,-8013.4472,0.5212
00710,-7965.3058,0.5220
00711,-7968.9471,0.5254
00712,-7976.9638,0.5233
00713,-7934.2408,0.5224
00714,-7966.9074,0.5169
00715,-7991.0625,0.5192
00716,-8032.8079,0.5229
00717,-8049.1442,0.5160
00718,-7957.4656,0.5142
00719,-7988.3182,0.5063
00720,-7998.7293,0.5112
00721,-7974.2774,0.5108
00722,-7948.7684,0.5023
00723,-7982.9450,0.5058
00724,-7932.0931,0.5046
00725,-7900.2330,0.5033
00726,-7888.1155,0.5060
00727,-7916.3960,0.5010
00728,-7924.4993,0.5012
00729,-7894.3500,0.4918
00730,-7920.0394,0.4876
00731,-7920.8711,0.4920
00732,-7942.0625,0.4888
00733,-7978.1181,0.5026
00734,-7942.9674,0.4999
00735,-7986.3186,0.5061
00736,-8030.7782,0.5118
00737,-7999.1688,0.5111
00738,-7969.7973,0.5136
00739,-7929.5625,0.5195
00740,-7922.0896,0.5113
00741,-8016.8320,0.5081
00742,-7943.9589,0.5000
00743,-7888.5015,0.4920
00744,-7908.0212,0.4966
00745,-7971.0048,0.5001
00746,-7941.0018,0.4964
00747,-7896.9355,0.4925
00748,-7920.7374,0.4880
00749,-7987.7420,0.4928
00750,-7897.6493,0.4888
00751,-7895.3074,0.4893
00752,-7923.1612,0.4967
00753,-7953.5890,0.5013
00754,-7974.1419,0.4965
00755,-7963.4027,0.4929
00756,-7961.1653,0.4980
00757,-7889.2761,0.4976
00758,-7891.2035,0.5010
00759,-7924.5472,0.4994
00760,-7947.5117,0.4989
00761,-7941.1963,0.4998
00762,-7965.0907,0.5012
00763,-8009.5264,0.5088
00764,-7983.3984,0.5038
00765,-7956.7973,0.5095
00766,-7978.5128,0.5096
00767,-7983.9216,0.5020
00768,-7997.3815,0.5070
00769,-7966.8770,0.5107
00770,-7948.9270,0.5184
00771,-7933.5839,0.5144
00772,-7861.2045,0.5066
00773,-7913.2644,0.5077
00774,-7947.6713,0.5130
00775,-8001.0997,0.5126
00776,-8019.0938,0.5131
00777,-8082.1043,0.5158
00778,-8048.4809,0.5153
00779,-8012.1149,0.5087
00780,-7973.2920,0.5081
00781,-7954.1975,0.5143
00782,-8007.6603,0.5210
00783,-8028.5896,0.5131
00784,-8014.1734,0.5098
00785,-8040.9959,0.4995
00786,-8057.4863,0.4994
00787,-8085.3308,0.5017
00788,-8057.9920,0.5021
00789,-7998.0863,0.4940
00790,-7925.2152,0.4838
00791,-7949.6084,0.4853
00792,-7962.2169,0.4841
00793,-8010.2809,0.4876
00794,-8028.5726,0.4851
00795,-8003.5062,0.4820
00796,-8049.4683,0.4770
00797,-8039.5963,0.4704
00798,-7979.8076,0.4764
00799,-7985.6905,0.4806
00800,-8009.9917,0.4772
00801,-7986.2814,0.4762
00802,-8023.3485,0.4784
00803,-8014.7658,0.4806
00804,-8043.5725,0.4815
00805,-8058.7499,0.4879
00806,-8009.7988,0.4816
00807,-7928.8422,0.4798
00808,-7941.2511,0.4771
